id,question1,question2,is_duplicate,CosineSimilarity,JaccardSimilarity,Levenshtein,DiceSimilarity
344002,amazon launch echo india ?,amazon echo ship ?,0,0.6053579216052528,0.4,11,0.8148148148148148
344003,fidel castro ?,fidel castro ? done ?,1,0.0,0.0,7,0.9629629629629629
344004,strength weaknesses ?,strengths weaknesses ?,0,0.0,0.0,1,1.0
344005,tricks prevent laziness procrastination ?,get rid laziness procrastination ?,1,0.0,0.0,12,0.875
344006,anyone cured laetrile ?,laetrile cure cancer ?,0,0.0,0.0,14,0.88
344007,atheism recognized officially india ?,atheism agnosticism ever officially recognized government india ?,1,0.0,0.11111111111111116,35,0.9743589743589743
344008,tashkent man ?,tashkent man ?,1,0.0,0.0,0,1.0
344009,one identify primary secondary intermolecular forces molecules ?,many joules required break london dispersion force two hydrogen molecules ?,0,0.0,0.0,47,0.8372093023255814
344010,classical music ?,find classical music like ?,0,0.0,0.0,10,0.782608695652174
344011,places spend weekend near pune ?,best places hangout pune ?,1,0.0,0.0,21,0.6896551724137931
344012,forget someone love strongly ?,forget someone deeply loved ?,1,0.0,0.0,12,0.9333333333333333
344013,anchorfree.us ?,solutiontalk.us ?,0,0.0,0.0,11,0.64
344014,birth date date birth certificate ( 18/01/1997 ) different date cbse 10th certificate ( 18/01/1995 ) . going hassle applying goverment job ?,apply passport india date birth transfer certificates different adhaar ?,0,0.0,0.09090909090909094,105,0.72
344015,us canada ensure americans canadians crossing border n't extend visit beyond six months allowed ?,difficult terrorist enter us unoticed via canadian border ?,0,0.0,0.0,72,0.8
344016,abo brain named name ? mean ?,brain name ?,0,0.0,0.0,17,0.9
344017,jerks dumb people breed way nice intelligent individuals ?,jerks dumb people breed nice intelligent individuals ?,1,0.0,0.0,4,0.9545454545454546
344018,'s like major english ?,like major literature/english ?,1,0.0,0.0,14,0.8823529411764706
344019,n't incredible mean opposite credible ?,people get easily friend zoned ? n't opposite gender see understand true feelings ?,0,0.0,0.0,59,0.7777777777777778
344020,upgrading ram make computer faster ?,adding ram make computer faster ?,1,0.0,0.0,5,1.0
344021,think question every aspect life ?,concentric contraction build muscle ? deadlift helps bodybuilding ?,0,0.0,0.0,50,0.8292682926829268
344022,catalyst affect rate reaction ?,way would catalyst increase rate reaction ?,1,0.0,0.0,17,0.8666666666666667
344023,role mechanical engineering textile ?,roles mechanical engineers textile industry ?,0,0.0,0.0,13,0.8823529411764706
344024,contact facebook help centre ?,contact facebook uk ?,1,0.0,0.0,11,0.8148148148148148
344025,first love comes back ?,first love come back ?,0,0.0,0.0,1,1.0
344026,india big loser olympics ?,india perform poorly olympics ?,1,0.0,0.1428571428571429,12,0.9090909090909091
344027,philippine president deny u.s. philippine 's master curse u.s. ?,n't u.s. government enforce land reform philippines like japan south korea ?,0,0.0,0.0,52,0.8372093023255814
344028,dress code melting pot ? wear ?,acceptable dress code melting pot ?,1,0.0,0.0,18,0.9411764705882353
344029,hypocritical thing indians done ?,hypocritical things indians ?,1,0.0,0.0,6,0.9696969696969697
344030,see views instagram videos ?,see viewed video instagram n't like video ?,1,0.0,0.0,18,0.9090909090909091
344031,friend earning millions home using uber app ?,people earning billions home simple uber app hack ?,1,0.0,0.0,17,0.8888888888888888
344032,best rom samsung galaxy duos gt s7582 ?,best rom samsung galaxy duos 2 gt s7582 ?,0,0.0,0.0,2,1.0
344033,convince girlfriend 's parents marriage ?,convince girlfriend 's parents marriage ?,1,0.0,0.0,0,1.0
344034,best place buy iphone 6 ?,best place buy iphone 6 plus ?,1,0.0,0.0,5,1.0
344035,watch less tv netflix ?,technology components need watch netflix tv ?,0,0.0,0.0,29,0.8333333333333334
344036,n't cats popular dogs ?,n't cats social dogs ?,0,0.0,0.0,5,0.8571428571428571
344037,three kingdoms korea able unify entire peninsula control ?,kingdom korea able unify entire peninsula control ?,1,0.0,0.0,7,0.9767441860465116
344038,things chinese import ?,things chinese best ?,0,0.0,0.0,5,0.8
344039,interesting products innovations lifeway foods coming 2016 ?,interesting products innovations b & g foods coming 2016 ?,0,0.0,0.0,7,0.8979591836734694
344040,benefits quitting smoking weed ?,benefits smoking weed ?,0,0.0,0.0,9,0.9375
344041,mandatory every government office india hoist indian flag independence day republic day ?,would happen rains heavily continuous hours delhi eve independence day ? flag hoisted normal procession ?,0,0.0,0.0,77,0.9545454545454546
344042,best way rent tata ace bangalore ?,book tata ace bangalore ?,1,0.0,0.0,12,0.8571428571428571
344043,"f ( x ) = ( x^2+x+1 ) / ( 2x+7 ) g ( x ) = ( x^2+x+1 ) / ( 0x^2+2x+7 ) , equal ?",x^2+2x+1-9y^2 ?,0,0.0,0.0,68,0.45161290322580644
344044,standard metric measurement system differ ?,differences metric standard systems ?,1,0.0,0.0,28,0.9655172413793104
344045,mi meters non linear scale ?,large scale industries linear form rather vertical strucrure ?,0,0.0,0.0,45,0.8125
344046,function server ?,function server ?,1,0.0,0.0,0,1.0
344047,intj rejected someone like ?,ever rejected someone liked ?,0,0.0,0.0,5,0.967741935483871
