id,question1,question2,is_duplicate,CosineSimilarity,JaccardSimilarity,Levenshtein,DiceSimilarity
12000,"difference concerto , sonata , symphony , partita , ?",rdio compare spotify ?,0,0.0,0.0,40,0.9090909090909091
12001,find children story books australia ?,children story book shop australia ?,0,0.0,0.0,9,0.9473684210526315
12002,justin bieber ( musician ) : 's belieber ?,justin bieber ( musician ) : justinbieber,0,0.0,0.0,8,0.9142857142857143
12003,early start upsc preparation ?,early one start preparations upsc clear ?,1,0.0,0.0,21,1.0
12004,kind questions hku ask skype interviews ?,kind questions hku ask skype interview ?,1,0.0,0.0,1,1.0
12005,add answer wiki quora ?,add answer wiki question quora ?,1,0.0,0.0,9,0.9655172413793104
12006,' e ' mean calculator 's answer ?,"meaning ms calculators ? ex . 100 ms , 82 ms etc .",0,0.0,0.0,33,0.7027027027027027
12007,"hard create useful new antibody , patent sell patent millions dollars ?",possible patent new software app ?,0,0.0,0.0,53,0.8108108108108109
12008,would win fight brutal cat brutal dog ?,"would win fight , dog coyote ?",0,0.0,0.0,18,0.8235294117647058
12009,trump win presidency ?,donald trump win vote ?,1,0.0,0.0,16,0.7741935483870968
12010,love warning songs model name ?,uri attack ?,0,0.0,0.0,25,0.4166666666666667
12011,photos last atmospheric nuclear test performed china 16th october 1980 ?,quora use many bots ?,0,0.0,0.0,59,0.631578947368421
12012,"use invisionapp free ui kits ( e.g . www.invisionapp.com/now ) new app developing , non-profit use ?","app/startup almost ready deploy , 'm using aws free tier . go seed funding wait till app 100k users ?",0,0.0,0.0,85,0.8301886792452831
12013,best way learn hack ( whitehat ) ?,best way learn hacking short time ?,1,0.0,0.0,12,0.8648648648648649
12014,women treated equally men ?,women treated equally men ?,0,0.0,0.0,0,1.0
12015,machine learning used financial time-series forecasting ?,one apply deep learning time series forecasting ?,0,0.0,0.0,23,0.8648648648648649
12016,one form/develop weekly monthly schedule personal development/ '' growth '' projects build habits ( mostly personal development area ) ?,one develop positive personality ?,0,0.0,0.0,107,0.6818181818181818
12017,best bloggers write sql ?,best bloggers write gifts ?,0,0.0,0.0,5,0.9230769230769231
12018,self-defense ?,self-defense teach ?,0,0.0,0.0,6,0.8181818181818182
12019,mercy killing right wrong ?,people euthanasia pro-abortion ?,0,0.0,0.0,24,0.625
12020,apply kajal child 's eyes ?,apply kajal eye liner eye liner better ?,0,0.0,0.0,21,0.6896551724137931
12021,hack facebook account ?,someone hack facebook account ?,1,0.0,0.0,8,0.9285714285714286
12022,edit topics stop getting asked questions modern warfare ?,manage type posts see quora feed ?,0,0.0,0.0,41,0.8648648648648649
12023,upgrade laptop cpu ?,overclock laptop cpu ?,0,0.0,0.0,8,0.8461538461538461
12024,difference apple 's mac windows ?,differences mac pc ? similarities ?,1,0.0,0.0,17,0.875
12025,countries travel without indian passport ?,indian travel russia without visa ?,0,0.0,0.0,27,0.9411764705882353
12026,people think song ice fire better harry potter ?,song ice fire popular harry potter series ? ?,0,0.0,0.0,28,0.918918918918919
12027,ever paranormal experience ?,paranormal experience ? happened ?,1,0.0,0.0,16,0.896551724137931
12028,women wipe men n't pee ?,things men n't tell women ?,0,0.0,0.0,17,0.8
12029,best online shopping sites sweden ? know listed ones use live chat customer service ? popular live chat option site sweden ?,know moving sweden ?,0,0.0,0.0,105,0.7428571428571429
12030,"uninstall whatsapp reinstall , get removed group ?",let 's assume two persons b. blocks b whatsapp uninstalls whatsapp . removed whatsapp b still blocked ?,0,0.0,0.0,69,0.8372093023255814
12031,th future sap mm ? get fresher job sap mm ?,get job sap labs india pvt ltd cloud operation edi consultant fresher ?,0,0.0,0.0,55,0.8108108108108109
12032,"n't money buy new macbook pro 2016 ( touch bar ) , buy macbook pro i5 2015 move brands like dell xps surface pro 4 ?",get 2015 macbook pro 2016 macbook pro ?,1,0.0,0.0,83,0.6538461538461539
12033,quora always mark questions needing improvement ?,quora mark questions needing improvement ?,1,0.0,0.0,7,0.9230769230769231
12034,"water emotions , reaction say ?",would side affects taking poppers taking 10mg valium ?,0,0.0,0.0,41,0.6842105263157895
12035,best architectural engineering colleges india ?,best architectural engineering colleges ?,0,0.0,0.0,6,0.9696969696969697
12036,sound waves polarized light waves ?,sound waves ca n't polarised ?,1,0.0,0.0,18,0.8648648648648649
12037,"cold gobi desert get , average temperatures compare ones thar desert ?","cold gobi desert get , average temperatures compare ones sonoran desert ?",1,0.1475013004407899,0.0,6,0.975609756097561
12038,tell stock market overvalued undervalued ?,one know stock overvalued undervalued ?,1,0.0,0.0,14,0.9375
12039,strongest majors terms job prospects weakest majors colorado college ?,strongest majors terms job prospects weakest majors sheridan college ?,0,0.0,0.0,7,0.95
12040,laws passed ?,get law passed ?,1,0.0,0.0,5,0.9
12041,colleges look freshman year grades ?,colleges look freshman grades ?,1,0.0,0.0,5,0.9696969696969697
12042,saltwater taffy candy imported switzerland ?,saltwater taffy candy imported canada ?,1,0.0,0.0,10,0.972972972972973
12043,many terrorist attacks france anywhere else europe ?,terrorists attack brussels ?,0,0.0,0.0,30,0.7647058823529411
12044,track activities mla elected kerala legislative assembly ?,party win 2017 election u.p . ?,0,0.0,0.0,45,0.5405405405405406
12045,indian government control population growth ?,indian government serious controlling population ?,1,0.0,0.0,19,0.918918918918919
12046,true heart marxism ?,marxism ?,1,0.0,0.0,11,0.8
12047,contact someone quora send private message ?,possible send messages privately quora someone answering questions ?,1,0.0,0.0,46,0.8717948717948718
12048,advantage demonetization indian currency ?,country india ever demonetization currency notes ?,0,0.0,0.0,28,0.9411764705882353
12049,get domain paid ?,one come depression taking life 25 ?,0,0.0,0.0,26,0.75
12050,red heart emoji next somebody 's name mean snapchat ?,different colors hearts emojis mean ? one would use tell someone like lot ?,0,0.0,0.0,44,0.75
12051,make friends 27 virtually friends people seem forget easily wo n't include social circle ?,"graduate , fear wo n't close friends confide , especially introvert . go making new friends post-graduation , become closer friends people ?",0,0.0,0.0,99,0.8846153846153846
12052,cant join military forces due poor eyesight.it feels like suddenly everything gone . everything finished.what supposed ?,best thing done life ?,0,0.0,0.0,101,0.6666666666666666
12053,"convenient flights leeds ibiza , ibiza 's tourist attractions compare ones madrid ?","non-stop flights leeds ibiza , leeds main tourist attractions ?",1,0.12768625925248497,0.0,37,0.9361702127659575
12054,t.v . show homeland feel islamophobic ?,accurate things shown show homeland ?,0,0.0,0.0,34,0.7894736842105263
12055,pakistani app show latest mehndi designs ?,pakistani website show latest mehndi designs ?,0,0.0,0.0,7,0.9714285714285714
12056,"nine children house . child ironing , b watching tv , c cooking , playing chess , e bathing , f listening radio , g sleeping , dressing . h right ?","subtract six make 9 , add nine make six ?",0,0.0,0.0,121,0.6976744186046512
12057,determine lewis dot structure sulfate ?,determine lewis dot structure sulfur ?,0,0.0,0.0,3,0.9696969696969697
12058,inner peace created ?,create inner peace ?,1,0.0,0.0,15,0.9523809523809523
12059,become rich investment $ 5000 ?,become rich 1000 $ ?,0,0.0,0.0,15,0.8
12060,crm prefer business ?,crm software best small startup ?,0,0.0,0.0,22,0.7586206896551724
12061,competitive hiring process bank hawaii ?,competitive hiring process & bank ?,0,0.0,0.0,9,0.9473684210526315
12062,way think reservation system diminished india ?,done end caste based reservation system india ?,1,0.0,0.0,29,0.8484848484848485
12063,move forward art ?,move forward ?,0,0.0,0.0,4,0.9565217391304348
12064,get foreign funds old age home ?,significance old age ?,0,0.0,0.0,19,0.8
12065,get designer collection affordable floor tiles sydney ?,found large collections ceramic porcelain wall floor tiles sydney ?,1,0.0,0.0,28,0.8648648648648649
12066,prepare articleship interview ( tax ) ey bangalore ?,prepare articleship interview ey ?,0,0.0,0.0,18,0.8421052631578947
12067,effect cooling rate grain size ?,many ways grain size reduced order increase strength ?,0,0.0,0.0,40,0.7647058823529411
12068,people still think world flat ?,people think earth flat ?,1,0.0,0.0,10,0.9032258064516129
12069,donald trump actually make america great ?,donald trump going make america great ?,1,0.0,0.0,8,0.9714285714285714
12070,save money online shopping ?,great tricks save money shopping online ?,1,0.0,0.0,23,0.8823529411764706
12071,study iit jee exam ?,prepare iit-jee self-studying ?,0,0.0,0.0,20,0.7096774193548387
12072,"calculator unable display number 1,7836 fraction ?",talk girl first call ?,0,0.0,0.0,38,0.5405405405405406
12073,way create many gmail accounts without mobile number verification ?,way create many gmail accounts without mobile n ?,0,0.0,0.0,18,0.95
12074,people absolutely hate laugh tracks ?,comedies reduce usage laugh tracks ?,0,0.0,0.0,17,0.8235294117647058
12075,localized infection ?,local infection ?,0,0.0,0.0,4,0.9166666666666666
12076,exactly banning rs 500 rs 1000 notes curb problem black money ?,scraping 500 1000 rupees notes help curbing corruption black money ?,1,0.0,0.0,38,0.9565217391304348
12077,many diciples jesus ?,many original disciples jesus ? names ?,1,0.0,0.0,18,0.9090909090909091
12078,'m 18. make money online ?,easy ways earn money online ?,1,0.0,0.0,11,0.7142857142857143
12079,chemical formula rust ?,'s formula rust ?,0,0.0,0.0,8,0.8148148148148148
12080,google 's `` captcha recaptcha '' work ?,google 's captcha recaptcha works ?,1,0.0,0.0,7,0.9696969696969697
12081,get period 6 days late ?,period four days late ?,1,0.0,0.0,8,0.8666666666666667
12082,become good student university ?,become good student ?,0,0.0,0.0,11,0.8666666666666667
12083,favourite hindi ( bollywood ) movies 60s 70s ?,favorite movie scene ?,0,0.0,0.0,28,0.6666666666666666
12084,cash check walmart ?,walmart cash fake checks ?,0,0.0,0.0,19,0.9629629629629629
12085,delete google+ profile form account ?,delete google+ account ?,1,0.0,0.0,13,0.8387096774193549
