id,question1,question2,is_duplicate,CosineSimilarity,JaccardSimilarity,Levenshtein,DiceSimilarity
268002,start android ios mobile app ?,useful apps ? ?,0,0.0,0.0,24,0.5833333333333334
268003,civil engineer get job isro ?,job profile scientist/engineer `` sc '' isro civil engineer ?,0,0.0,0.0,42,0.8571428571428571
268004,"hotel yercaud hill-station would safe unmarried couples , without harassment police , hotel staff , moral police ?","hotel yelagiri hill-station would safe unmarried couples , without harassment police , hotel staff , moral police ?",0,0.0,0.0,6,0.9777777777777777
268005,story christian mythology nost relevant today modern societies ?,story christian mythology relevant today ?,0,0.0,0.0,22,1.0
268006,tell 've blocked facebook messenger ?,still see public likes blocked facebook ?,0,0.0,0.0,27,0.7428571428571429
268007,`` syscall '' interface ethereum 's evm provide dapps ?,"beginer , book read music want produce edm ?",0,0.0,0.0,42,0.7142857142857143
268008,donald trump ’ win elections impact indian students applying higher education us ?,trump 's victory effect indian students higher studies ?,1,0.0,0.0,40,0.8571428571428571
268009,'s story behind american flag ?,best stories behind country 's flag ?,1,0.0,0.0,15,0.95
268010,would happen earth moon jupiter ?,would happen jupiter collided earth ?,0,0.0,0.0,18,0.9411764705882353
268011,search best five star hotel bhopal ?,find best five star hotel bhopal ?,1,0.0,0.0,6,0.9090909090909091
268012,ways give feedback candidates without disclosing much ?,best treatment heal wound ?,0,0.0,0.0,42,0.7894736842105263
268013,best smartphones inventions ?,best mobile phones technology inventions ?,1,0.0,0.11111111111111116,18,0.8125
268014,ways increase typing speed keyboard ?,increase typing speed fast ?,1,0.0,0.0,12,0.8484848484848485
268015,work finance department startup company ?,work finance department ?,0,0.0,0.0,16,0.9142857142857143
268016,"bank mistakenly deposits $ 1,000,000 account , legally allowed spend realize mistake ?","student live new delhi , india . 40,000 rupees bank account . invest ?",0,0.0,0.0,64,0.8
268017,best way increase traffic new blog ?,best way drive traffic website ?,1,0.0,0.0,13,0.8125
268018,"boyfriend ca n't breath mouth , nose . tries almost throws . normal go doctor ?","since nose breathing function , mouth breathing function ? redundant ?",0,0.0,0.0,57,0.8837209302325582
268019,ca n't stop crying even people tell cry ?,stop crying people angry ?,0,0.0,0.0,18,0.9375
268020,attract customers ?,attract customers store ?,0,0.0,0.0,6,1.0
268021,develop ios sdk existing service like payment gateway ?,payment gateway company used wcf services experience ?,0,0.0,0.0,43,0.9047619047619048
268022,ca n improve communication skill ?,improve communication skills specially pronunciation skill ?,1,0.0,0.0,36,0.9714285714285714
268023,people told `` seller agents '' use redfin ?,redfin available manhattan ?,0,0.0,0.0,35,0.6666666666666666
268024,history behind naming stations mumbai ?,procedure organize event/ activities mumbai railway stations ?,0,0.0,0.0,45,0.8
268025,modify question reasking ?,edit question quora ?,0,0.0,0.0,12,0.8387096774193549
268026,given offer click labs ? worth joining given many bad reviews quora ( mostly old ) ?,working aricent past 5 months software engineer offer snapdeal higher package . go ? worth joining snapdeal ?,0,0.0,0.0,81,0.8
268027,go tier 3 data center ?,need data center ?,0,0.0,0.0,8,0.8181818181818182
268028,14 days late period without pregnant ?,"girlfriend sex , naked , private parts touched , periods 15 days late . pregnant ?",0,0.0,0.0,55,0.782608695652174
268029,get 10 lpa plus package fresher backlogs/supplementary semesters placements ?,m.sc . statistics fresher india get job salary package 12 lpa ?,0,0.0,0.0,55,0.8333333333333334
268030,"lose weight eating normal indian home cooked food , coupled half hour running every morning ?",best ways lose weight ?,0,0.0,0.0,79,0.6842105263157895
268031,improve english speaking writing skills ?,enhance english writing skills ?,1,0.0,0.0,15,0.8484848484848485
268032,claim abandoned car ( usa ) ?,one go claiming barn find usa ?,0,0.0,0.0,21,0.8823529411764706
268033,someone 've lost wireless usb connector logitech keyboard mouse ?,someone 've lost wireless usb connector iball keyboard mouse ?,0,0.0,0.0,7,0.9545454545454546
268034,"difference twin turbo , bi-turbo twin scroll turbo ?",difference bi-turbo twin-turbo ?,0,0.0,0.0,21,0.9090909090909091
268035,best place india ?,bombay best place india ?,0,0.0,0.0,7,0.896551724137931
268036,examples love analogies ?,example analogy ?,0,0.0,0.0,9,0.8461538461538461
268037,'s best fighting game ps4 ?,injustice best ps4 fighting game ?,0,0.0,0.0,16,0.8823529411764706
268038,'s reasonable amount spend per workstation office furniture ?,need know buying furniture home office ?,0,0.0,0.0,44,0.8
268039,atomic radius measured ?,atomic radius usually measured ?,1,0.0,0.0,8,0.9285714285714286
268040,interesting thing ever happened ?,best thing almost happened ?,1,0.0,0.0,14,0.8
268041,"computers perform subtraction , multiplication , division perform addition ?","computers still use nine 's complement addition perform math functions , 2nd generation computers ?",0,0.0,0.0,66,0.8571428571428571
268042,pursue biotechnology b.tech mechanical engineering ?,available options government jobs completing b.tech mechanical engineering ?,1,0.0,0.0,36,0.9
268043,download movie free ?,websites download movies free ?,1,0.0,0.0,10,0.9032258064516129
268044,scotland leave uk due brexit ?,scotland northern ireland leave uk ?,0,0.0,0.0,21,0.9142857142857143
268045,unhealthy sex strangers cope loneliness/depression ? consequences continued behavior kind ?,one overcome depression anxiety ?,0,0.0,0.0,66,0.7804878048780488
268046,first amendment 's purpose ?,first amendment important ?,1,0.0,0.0,8,0.9333333333333333
268047,would happen another world war ?,world war 3 happen ?,0,0.0,0.0,22,0.8888888888888888
268048,best books learning python ?,good books online tutorials learning python basics ?,1,0.0,0.0,28,0.918918918918919
268049,interesting products innovations boston properties coming 2016 ?,interesting products innovations boston scientific coming 2016 ?,0,0.0,0.0,8,0.9777777777777777
268050,change font facebook ?,change font facebook posts ?,1,0.0,0.0,6,0.9285714285714286
268051,get fear death ?,get fear death ?,1,0.0,0.0,0,1.0
268052,craziest/weirdest things 've seen penguin ?,craziest/weirdest things 've seen crow ?,0,0.0,0.0,7,0.9230769230769231
268053,everyone today ?,everyone ?,1,0.0,0.0,6,0.8421052631578947
268054,iphone worth ?,buying iphone 6 plus worth ?,1,0.0,0.0,14,0.7586206896551724
268055,kendall kylie jenner close ?,like kendall kylie jenner school ?,0,0.0,0.0,9,0.967741935483871
268056,study get good marks ntse ?,get good marks ntse exam books refer ?,1,0.0,0.0,23,0.8387096774193549
268057,best way learn big data ?,perquisites learn big data ?,1,0.0,0.0,10,0.8387096774193549
268058,start answering questions chegg ca n't see option homepage ?,see answers chegg ?,0,0.0,0.0,43,0.7333333333333333
268059,india become developed country 2050 ?,india become developed country 2040 ?,0,0.0,0.0,1,0.9523809523809523
268060,iima course media management ?,iphone 6 t-mobile use family mobile ?,0,0.0,0.125,28,0.6470588235294118
268061,chemical properties ammonia ?,chemical properties carbon ?,0,0.0,0.0,5,0.967741935483871
268062,get job pune mechanical engineer ?,get mechanical engineer job pune ?,1,0.0,0.0,18,1.0
268063,oldest wildlife sanctuary india ?,wildlife india ?,0,0.0,0.0,17,0.7407407407407407
268064,u° scale used measure temperature ?,ways measuring temperature ?,0,0.0,0.0,14,0.6896551724137931
268065,protocol homekit use communicate devices ?,use apple homekit devices ?,0,0.0,0.0,24,0.9444444444444444
268066,quora flagged question needing improvement ?,every question quora need improvement ?,1,0.0,0.0,21,0.8888888888888888
268067,beautiful lines comment beautiful pictures ?,beautiful pictures indian bhabi ?,0,0.0,0.0,26,0.8823529411764706
268068,best karaoke software ?,best karaoke software ?,1,0.0,0.0,0,1.0
268069,embarrassing injury ?,embarrassing moment swimming pool ?,0,0.0,0.0,18,0.7333333333333333
268070,many times safely dye hair month ?,long wait dye hair ?,0,0.0,0.0,20,0.8387096774193549
268071,transfer uk university us university ?,possible transfer us community college uk university ?,0,0.0,0.0,25,0.8
268072,reset gmail password n't remember recovery information ?,reset gmail password n't remember recovery information ?,0,0.0,0.0,0,1.0
268073,pulses challenges prospects food security ?,prospects challenges pulses sustainable food security ?,1,0.0,0.0,20,0.9743589743589743
268074,learn children ?,adults learn children ?,0,0.0,0.0,7,0.88
268075,badass thing parent ever done ?,cringe-worthiest thing middle school ?,0,0.0,0.0,29,0.7272727272727273
268076,kill george o'malley grey 's anatomy ?,life work surgeons really shown grey 's anatomy ?,0,0.0,0.0,23,0.8888888888888888
268077,best railway minister far india ?,best railway minister ?,0,0.0,0.0,10,0.9333333333333333
268078,pole roots characteristics equation ?,take admission m.a delhi university ?,0,0.0,0.0,30,0.7428571428571429
268079,best movie 2016 ?,movie 2016 watch ?,1,0.0,0.0,11,0.8
268080,ask right questions ?,one master art asking right questions ?,1,0.0,0.0,18,0.967741935483871
268081,take control masturbation ?,stop masturbation ?,1,0.0,0.0,10,0.8275862068965517
268082,world war 3 likely ?,likely world war iii future ?,1,0.0,0.0,16,0.8571428571428571
268083,career prospects master 's degree economics dse isi ?,job prospects masters degree economics ?,0,0.0,0.0,16,0.9090909090909091
268084,"supplied san bernardino shooters semi-automatic rifles ( bought handguns , semi-automatic rifles ) ?",many semi-automatic rifles per year walmart sell ban ?,0,0.0,0.0,66,0.8181818181818182
268085,carry rice hong kong ?,hong kong part japan ?,0,0.0,0.0,18,0.72
268086,happy ?,happy ?,0,0.0,0.0,0,1.0
268087,people asperger 's less manipulative without ?,people asperger 's prone addiction others ?,0,0.0,0.0,19,0.8333333333333334
268088,engineering management university alberta ?,university alberta ?,0,0.0,0.0,23,0.9333333333333333
268089,india ban `` made china '' products ?,india ca n't ban chinese products ?,1,0.0,0.0,12,0.9444444444444444
268090,best online course recruitment ?,best online course ?,0,0.0,0.0,12,0.9629629629629629
268091,best laptop buy inr 50k ?,laptop best 50k budget ?,1,0.0,0.0,17,0.8235294117647058
268092,estonian men like ?,albanian men like ?,0,0.0,0.0,4,0.8181818181818182
268093,probable cutoff kvpy sa 2016 ?,expected kvpy 2016 sa cut ?,1,0.0,0.0,21,0.8205128205128205
268094,anyone trinidad tobago ?,trinidad tobago ?,0,0.0,0.0,7,0.9166666666666666
268095,e-commerce different traditional commerce ?,features online supermarket different traditional e-commerce site ?,0,0.0,0.0,29,0.8823529411764706
268096,planing start company sell insurances online/offline india . licences required ? get licenses ?,since 4 weeks could n't properly get good night 's sleep ticklish sensation goes head everywhere legs . ?,0,0.0,0.0,82,0.782608695652174
268097,singapore 's crime rate low ?,birth rate low singapore ?,0,0.0,0.0,23,0.8484848484848485
268098,best colleges dehradoon psychology visit come check colleges ?,"hi portlanders , 's best thing city , 36 hours portland ? info : 'm america ; 'm coming asia traveling alone visit reed college , spending another day two portland . seeing seattle visiting family vancouver ?",0,0.0,0.0,169,0.7843137254901961
268099,really bored nothing ?,bored ?,1,0.0,0.0,15,0.6363636363636364
268100,ext js used ?,ext js : ext js niche skill ?,0,0.0,0.0,18,0.6086956521739131
