id,question1,question2,is_duplicate,CosineSimilarity,JaccardSimilarity,Levenshtein,DiceSimilarity
260002,like sibling 10 years age difference ?,experience 10 years older sibling ?,1,0.5905550475572866,0.375,22,0.8648648648648649
260003,incognitovpn.com legit ?,beggingmoney.com legit ?,0,0.0,0.0,10,0.8571428571428571
260004,requirements civil wedding ?,civil weddings philippines expiration dates ?,0,0.0,0.0,34,0.7777777777777778
260005,"never marry , never children , emotionally stunted adult ?","'m depressed , neurotic , addicted video games . college starts next month different country far away . sell ?",0,0.0,0.0,81,0.8444444444444444
260006,best programming language one must learn stay updated today ?,programming language best nowadays ?,1,0.0,0.0,30,0.972972972972973
260007,triple talaq islam ?,triple talaq mean ?,1,0.0,0.0,4,0.9166666666666666
260008,person sensitive weed low tolerance feel buzz accidentally ingest tiny traces weed ?,someone low tolerance get buzz touching weed putting hands mouth ?,1,0.0,0.0,48,0.8837209302325582
260009,point getting married ?,arguments getting married ?,1,0.0,0.0,7,0.8461538461538461
260010,turkish justify armenian genocide ? caused turks feel today ?,turkey justify armenian genocide ?,1,0.0,0.0,29,0.95
260011,gre toefl scores required get national university singapore ms mis se ?,universities good apply ms mis gre score 315 toefl score 94 ?,0,0.0,0.0,56,0.8695652173913043
260012,everyone ’ favourite song ?,favorite song time ?,1,0.0,0.0,17,0.8666666666666667
260013,cheating different lying ?,cheating ? different lying ?,1,0.0,0.0,2,1.0
260014,would win war vietnam india ?,would win war vietnam thailand ?,0,0.0,0.0,6,0.967741935483871
260015,airplanes use two-pronged headphones ?,bone conduction headphones like use ?,0,0.0,0.11111111111111116,29,0.8
260016,pass 70-693 exam high score ?,best way pass 70-668 exam ?,0,0.0,0.0,22,0.6486486486486487
260017,feel like love someone ca n't ?,like loved someone love ?,0,0.0,0.11111111111111116,12,0.7857142857142857
260018,possible arbitrage different onshore offshore renminbi rates ?,domestic offshore renminbi different values ? ca n't converge ?,1,0.0,0.0,47,0.8717948717948718
260019,fast average 40-year-old male run mile ?,40 year old mom . still let 17 year old son sleep bed ?,0,0.0,0.0,40,0.7619047619047619
260020,exercises perform head able reach penis ?,c++ great language ?,0,0.0,0.0,30,0.5333333333333333
260021,'s worse death ?,would fate truly worse death ?,1,0.0,0.0,16,0.8148148148148148
260022,like work robert downey jr. ?,like work robert downey jr ?,1,0.0,0.09999999999999998,1,0.967741935483871
260023,update honor bee lollipop ?,update honor 4x lollipop ?,0,0.0,0.0,3,0.9032258064516129
260024,determine chemical formula calcium ammonium phosphate ?,determine chemical formula calcium acid phosphate ?,0,0.0,0.0,6,1.0
260025,do/not cfa ?,cfa ?,0,0.0,0.0,7,0.6666666666666666
260026,ellen page like person ?,new video game ellen page ?,0,0.0,0.0,18,0.7407407407407407
260027,safety precautions handling shotguns proposed nra idaho ?,safety precautions handling shotguns proposed nra hawaii ?,1,0.0,0.0,5,0.9743589743589743
