id,question1,question2,is_duplicate,CosineSimilarity,JaccardSimilarity,Levenshtein,DiceSimilarity
308002,change battery watch ?,get watch battery changed ?,0,0.6550647680629789,0.4,14,0.9629629629629629
308003,life clearing ssc chsl ?,ldc/deo ssc-chsl get posting delhi selection ?,0,0.0,0.0,32,0.6896551724137931
308004,types controller used ship ?,ship control types controller used ?,1,0.0,0.0,18,1.0
308005,"good poster ( ) room , preferably relating travel/motivation/cricket/languages/self-improvement anything related mentioned categories ?","get rid using abusive language always say good things others always calm , kind peaceful self improvement ?",0,0.0,0.0,106,0.9056603773584906
308006,sweden able stay neutral ?,sweden successfully stay neutral world war 2 ?,1,0.0,0.0,23,0.8387096774193549
308007,disgusting / disturbing thing ever done witnessed ?,horrifying thing ever witnessed ?,0,0.0,0.0,24,0.8484848484848485
308008,downloading tv series freshseries.net legal safe ?,torrent downloading illegal land jail . downloading movies non torrent websites safe ?,0,0.0,0.0,56,0.8947368421052632
308009,cultural faux pas ?,cultural faux pas tokyo ?,0,0.0,0.0,6,0.8888888888888888
308010,people buy iphone india ?,people buy iphone ?,1,0.0,0.0,6,0.9230769230769231
308011,philosopher support/prove claim art/beauty ?,philosopher support/prove claim art/beauty ? ( nietzsche ),1,0.0,0.0,14,0.9047619047619048
308012,'s culo mean spanish ?,brinca mean spanish ?,0,0.0,0.0,7,0.7857142857142857
308013,list legit wholesale suppliers apple iphone 6s worldwide accept payments wu ?,list legit wholesale suppliers apple iphone 6 plus worldwide accept payments wu ?,1,0.0,0.0,4,1.0
308014,think homosexual behavior morally right ?,"homosexuals think people support total legal equality homosexuals , n't morally agree homosexuality lifestyle ?",0,0.0,0.0,81,0.8372093023255814
308015,symptoms gerd ?,symptoms gerd ?,1,0.0,0.0,0,1.0
308016,city miami 's nickname given name ?,city detroit 's nickname given name ?,0,0.0,0.0,6,0.9090909090909091
308017,tickling get worked ?,"husband tell need stand people rude , n't let stand 's rude ?",0,0.09835284907909683,0.0,51,0.5806451612903226
308018,top high schools world curricula ?,best high schools world ?,1,0.0,0.0,14,0.8387096774193549
308019,ok stupid ?,okay stupid ?,0,0.0,0.0,2,0.9090909090909091
308020,study psychology ?,like study psychology u washington ?,0,0.0,0.0,18,0.8125
308021,"novice writer , tips get beyond writer 's block ?","'s best way , opinion , get crippling writer 's block ?",1,0.05594803125236725,0.0,28,0.926829268292683
308022,"could ask person history one question , would ask would ask ?",could meet famous person history would ? questions would ask him/her ?,1,0.0,0.0,27,0.9090909090909091
308023,company house google ppc accredited professional become google partner even agency ?,"ever become ceo , even one top managers , join company like google , facebook , linkedin , quora even wipro , infosys tcs , joining entry level engineer ?",0,0.0,0.0,113,0.875
308024,portfolio investment ?,`` portfolio '' ?,0,0.0,0.0,13,0.72
308025,avoid bots omegle ?,advantages using omegle ?,0,0.0,0.0,13,0.896551724137931
308026,get paid tweeting others ?,get paid tweet ?,1,0.08752591648888981,0.0,10,0.8
