id,question1,question2,is_duplicate,CosineSimilarity,JaccardSimilarity,Levenshtein,DiceSimilarity
48000,"reviews prescott college , united states ?",want join parentune.com ? excites/interests ?,0,0.0,0.0,33,0.7368421052631579
48001,lessons learned life ?,learned life ?,1,0.0,0.0,8,0.9090909090909091
48002,safety precautions handling shotguns proposed nra maine ?,safety precautions handling shotguns proposed nra maryland ?,1,0.0,0.0,5,1.0
48003,like lucid dream ? ?,like lucid dream ?,0,0.0,0.0,2,1.0
48004,'s cynic 's cynic ?,cynicism good ?,0,0.0,0.0,11,0.7368421052631579
48005,diploma holder mining branch may take admission iit collages ?,sc give wbjee medical 2016 got 168 250 rank college ?,0,0.0,0.08333333333333337,44,0.7391304347826086
48006,favorite anime ?,favorite anime ?,1,0.0,0.0,0,1.0
48007,ethernet cable length limited 300ft ?,hdmi cable ethernet ?,0,0.0,0.0,22,0.875
48008,recommended itinerary spending 2-3 weeks switzerland month may ?,kissing someone pimples ?,0,0.0,0.0,52,0.6666666666666666
48009,computer bug ?,computational bug ?,1,0.0,0.0,7,0.7692307692307693
48010,country highest suicide rate ?,country highest rate suicide ?,1,0.0,0.0,10,1.0
48011,differences single-mode multi-mode optical fibers ?,optical fiber made ?,0,0.0,0.0,40,0.8571428571428571
48012,get rid belly fat ?,reduce belly chest fat ?,1,0.0,0.0,12,0.7857142857142857
48013,drug dealers spend money ?,much drug dealers really earn ?,0,0.0,0.0,16,0.8666666666666667
48014,happen overdose combiflame ?,happen overdose lorazepam ?,0,0.0,0.0,7,0.8484848484848485
48015,tinder - delete interests ?,still see someone 's tinder deleted app ?,0,0.39866729676071766,0.0,26,0.7692307692307693
48016,molecular formula alkane ? determined ?,molecular formula glycerol determined ?,0,0.0,0.0,7,0.9090909090909091
48017,various method determination water content soil ?,contents pure water ?,0,0.0,0.0,37,0.7741935483870968
48018,gandhi ji meet swami vivekanand ?,swami vivekanand n't get guru ?,0,0.0,0.0,26,0.8484848484848485
48019,important project management questions ?,importance project management ?,0,0.0,0.0,12,0.9032258064516129
48020,best way get clay carpet ?,get hair dye carpet ? matter color dye ?,0,0.0,0.0,26,0.7333333333333333
48021,much money making quora ?,make money quora ?,0,0.0,0.0,10,0.8571428571428571
48022,right age leave two kittens alone ?,age safe leave two kittens alone home 5 hour ?,1,0.0,0.0,18,0.8888888888888888
48023,become growth hacker find job ?,best way find `` growth hacker '' jobs startups ?,0,0.0,0.0,28,0.8372093023255814
48024,install kick start yamaha fzs version 2.0 ?,install kick start yamaha fz-s version 2.0 ?,1,0.0,0.0,1,0.9777777777777777
48025,chinese concept chi differ indian equivalent `` prana '' ?,pakistani different indian ?,0,0.0,0.0,40,0.7058823529411765
48026,interesting things computer science ?,best things computer ?,0,0.0,0.0,16,0.967741935483871
48027,laptop turns screen black . fix ?,computer screen turn green ? fix ?,0,0.0,0.0,20,0.8
48028,use 10 volume developer dying hair ? different 20 volume developer ?,'m 21 years old . n't facial hairs . way develop facial hair ?,0,0.0,0.0,52,0.851063829787234
48029,good cl 's test gym 4 months cat preparation ? practicing questions good enough ?,make best use cl test gym remaining cat period ?,0,0.0,0.0,57,0.8571428571428571
48030,[ math ] 1\circ4=5 [ /math ] [ math ] 2\circ5=12 [ /math ] [ math ] 3\circ6=21 [ /math ] [ math ] 8\circ11 [ /math ] ? fun…,improve math ?,0,0.0,0.0,113,0.43243243243243246
48031,"total energy universe zero , mean way `` make '' matter/energy also making kind counterpart ?",total energy universe zero ?,1,0.0,0.0,65,0.7619047619047619
48032,romantic person ?,one become romantic person ?,1,0.0,0.0,11,0.9629629629629629
48033,working principle screw heat exchanger ?,physical principle allows archimedes ' screw work ?,0,0.0,0.0,30,0.8108108108108109
48034,species animal kingdom takes largest poops ?,animal species cutest babies ?,0,0.0,0.0,28,0.7741935483870968
48035,examples vector clocks used production ?,mean shy girl ?,0,0.0,0.0,32,0.625
48036,liquid nitrogen flammable ?,liquid nitrogen dangerous get ?,0,0.0,0.0,12,0.875
48037,coaching fees vibrant academy kota 2 years ( classes 11 12 ) ?,day declare india free maternal neonatal tetanus ?,0,0.0,0.0,47,0.7619047619047619
48038,get away boredom ?,beat boredom ?,1,0.0,0.0,6,0.8695652173913043
48039,website ux : good idea users enter comment post prompted log ?,ux review user testing reasonable ?,0,0.0,0.0,43,0.8421052631578947
48040,download free cat 2016 study material ?,get cat study material pdf form time institute ?,0,0.0,0.0,37,0.8292682926829268
48041,girl calls best friend like ?,love one girl calls brother sometimes sometimes best friend . ?,0,0.0,0.0,41,0.8333333333333334
48042,difference small bank payments bank ? need ?,norms prescribed small banks payment banks india ?,0,0.0,0.0,20,0.9444444444444444
