id,question1,question2,is_duplicate,CosineSimilarity,JaccardSimilarity,Levenshtein,DiceSimilarity
124001,win 2016 presidential elections ?,think going win 2016 presidential election ?,1,0.5728288706302472,0.4285714285714286,13,0.926829268292683
124002,cast iron cast soil ?,ca n't cast iron casted ?,0,0.0,0.0,12,0.8333333333333334
124003,`` healthy diet '' ?,eat stay healthy ?,0,0.0,0.0,15,0.7619047619047619
124004,one cope loss loved one ?,cope loss loved one ?,1,0.0,0.0,4,1.0
124005,"assuming iso windows 7 , making new computer , make bootable drive get windows 7 computer ?","want install windows 7 operating system bootable pendrive new laptop , make bootable pendrive ?",1,0.0,0.0,61,0.9333333333333333
124006,"start pretending 'm ai n't hurt , turn hurts alot ? ?",would world react peaceful country like iceland new zealand invaded/attacked ?,0,0.0,0.0,63,0.65
124007,find active .onion links darknet darkweb ?,would advice road map someone wants make money stock market based technical analysis ?,0,0.0,0.0,62,0.8292682926829268
124008,llc issue additional membership interests member llc sell share day ?,"article organization llc ? mean $ 275.00 min . 275,000 shares ; ( $ 100 additional 100,000 shares ) ?",0,0.0,0.0,75,0.6382978723404256
124009,khan return upcoming star trek movies ?,think jaylah next star trek movie ?,0,0.0,0.0,18,0.7777777777777778
124010,one best feelings world ?,best feelings experienced life ?,1,0.0,0.0,18,0.8387096774193549
124011,stop urge masturbate ?,stop masturbating ?,1,0.0,0.0,8,0.8888888888888888
124012,best sites downloading movies ?,best sites download movies ?,1,0.0,0.0,3,0.967741935483871
124013,"exchange 500 1,000 indian rupee notes usa ?",exchange rupee notes dollars usa ?,1,0.0,0.0,24,0.8421052631578947
124014,eat every day healthy ?,healthy eat one chicken every day ?,1,0.0,0.0,24,0.8148148148148148
124015,ideologies ?,l 's ideology ?,0,0.0,0.0,8,0.9
124016,quora etiquette ?,quora 's unspoken values points etiquette ?,0,0.0,0.0,26,0.7407407407407407
124017,best microsoft certification get 2016 ?,best place one get free certification ifrs ?,0,0.13649661811363742,0.0,23,0.8
124018,mysteries bermuda triangle ?,`` mysterious bermuda triangle '' ?,1,0.0,0.0,8,0.9142857142857143
124019,basic winning strategies texas hold'em ?,basic strategies texas holdem ?,1,0.0,0.0,9,0.918918918918919
124020,best investment options ?,'s best investment ?,1,0.0,0.0,11,0.8695652173913043
124021,best news website india ?,top best news websites provide latest news india ?,0,0.0,0.0,25,0.8148148148148148
124022,drink water wisdom tooth extraction iv sedation ?,patent infringement presentation result different ? ( see description ) ?,0,0.0,0.0,52,0.6842105263157895
124023,deal toxic person ?,deal toxic person ?,1,0.0,0.0,0,1.0
124024,concentrate studies ?,concentrate studying ?,1,0.0,0.0,3,0.9285714285714286
124025,bromine mercury liquids room temperature ?,mercury liquid room temperature ?,0,0.0,0.0,9,0.9142857142857143
124026,would win fight fox cat ?,fox kill domestic cat ?,0,0.15875338817051127,0.0,16,0.7096774193548387
124027,best institute preparing gmat delhi/ncr ?,best gmat coaching institutes delhi ncr ?,1,0.0,0.0,23,0.918918918918919
124028,meteorology : far advance weather realistically predicted ?,weather like october rome ?,0,0.0,0.0,45,0.7027027027027027
124029,"many suppliers , including secondary third party suppliers , car manufacturers use build one vehicle ?",leading manufacturer & supplier flange guards ?,0,0.0,0.0,73,0.8292682926829268
124030,advantages demonetisation ?,demonetisation affected tourist ?,0,0.0,0.0,25,0.7857142857142857
124031,"reliable bmw 2011 3-series ( hardtop ) convertibles ? mechanism top falter often , expensive fix ?",buying $ 16k less bmw 3 series bad idea ?,0,0.0,0.0,77,0.6
124032,life ( 2017 movie ) get greenlit ? 's backstory movie got made ?,mummy ( 2017 movie ) get greenlit ? 's backstory movie got made ?,0,0.0,0.0,5,0.9629629629629629
124033,get arrested watched porn 18 ?,get arrested watching porn 're 18 ?,1,0.0,0.0,7,0.9444444444444444
124034,noma really best restaurant world ?,noma best restaurant world ?,1,0.0,0.0,7,0.967741935483871
124035,1000 500 notes banned indian . short long term impact ?,effects demonetisation 500 1000 notes indian economy ?,1,0.0,0.0,46,0.7692307692307693
124036,get best female escorts surat ?,get best female escorts bangalore ?,0,0.0,0.0,8,0.9333333333333333
124037,right direction place pooja mandir ? order good one ?,exquisite places world one get good mba degree ?,0,0.0,0.0,37,0.7894736842105263
124038,makes proud engineer ?,makes proud ?,0,0.0,0.0,9,0.8888888888888888
124039,amity uuniversity good option msc actuarial ?,would happen gravitational field earth would variable one point ?,0,0.0,0.0,50,0.7894736842105263
