id,question1,question2,is_duplicate,CosineSimilarity,JaccardSimilarity,Levenshtein,DiceSimilarity
216002,sovereign immunity ?,sovereign immunity ?,1,1.0,1.0,0,1.0
216003,"nearest airport daytona beach , cities tourist attractions compare fayetteville 's ?","nearest airport daytona beach , cities tourist attractions compare huntsville 's ?",0,0.0,0.0,6,0.9777777777777777
216004,"could make movie hollywood today , would ?","could make movie , would ?",1,0.0,0.0,16,0.9090909090909091
216005,much youtuber 1 million subscribers earn year ?,"much money youtubers make 1 million views 10,000 subscribers ? much tax pay ?",0,0.0,0.0,37,0.8372093023255814
216006,main important political causes world war 1 ?,situations led world war 1 ?,1,0.0,0.0,25,0.9090909090909091
216007,best online grocery store pune ?,best online grocery shopping website pune ?,1,0.0,0.0,13,0.9411764705882353
216008,lose weight faster ?,lose weight quickly ?,1,0.0,0.0,7,0.7333333333333333
216009,time travel possible yes travel past future ?,time travel theoretically possible ?,1,0.0,0.0,24,0.8823529411764706
216010,"mother india , , father india , mahatma gandhi ?",mahatma gandhi father india pakistan ?,0,0.0,0.0,26,0.8387096774193549
216011,difference chinese american education ?,differences american chinese education ?,1,0.0,0.0,15,1.0
216012,so-called jew ?,"movies depict much hate catholic jews , history behind hatred ?",0,0.0,0.0,53,0.6285714285714286
216013,boy girl ever friends ?,guy girl friends ?,1,0.0,0.0,7,0.8571428571428571
216014,find engine number chassis number renault kwid ?,renault kwid used drive uber india ?,0,0.0,0.0,34,0.8333333333333334
216015,honda service center charge inr 400 first free service activa ? fair ?,"since hero honda separated , go hero service honda service bike ?",0,0.0,0.0,50,0.8108108108108109
216016,1.7ghz dual core 1.5ghz quad core 1.2ghz octa core ? processor best speed ?,2.5 ghz single core 1.4 ghz dual core . better ?,0,0.0,0.0,45,0.8695652173913043
216017,viewed someone 's video instagram 'm following . able see viewer 's list ?,view video someone 's timeline n't friends see viewed ?,1,0.0,0.0,41,0.8888888888888888
216018,ohm 's law amperage ?,ohm 's law state ?,1,0.0,0.0,6,0.8461538461538461
216019,prepare elitmus exam ? useful ?,prepare elitmus test ?,1,0.0,0.0,12,0.9230769230769231
216020,"reaction universe causes dark energy outflow universal black hole , causing galxy clusters accelerate away us ?",dark energy outflow universal black hole ?,0,0.0,0.0,69,0.9565217391304348
216021,n't know anyone amazon . get software engineering interview ?,get interview amazon ?,1,0.0,0.0,49,0.8235294117647058
216022,follow cricket ?,follow decided test cricket ?,1,0.0,0.0,13,0.9230769230769231
216023,"harry potter 7 book , triangular symbol really mean ?",symbolism used harry potter books ?,0,0.0,0.0,42,0.8717948717948718
216024,drinking glucose daily good health ?,drinking tropicana orange daily good health ?,0,0.0,0.0,13,0.9142857142857143
216025,identify fake ai scientist ?,ai exist ?,0,0.0,0.0,19,0.6666666666666666
216026,'m overweight . begin lose weight ?,best lose weight ?,1,0.0,0.0,19,0.8
216027,'s difference cathode ray tube discharge tube ?,purpose j.j. thomson 's cathode ray tube experiments ? accomplish ?,0,0.0,0.0,41,0.8095238095238095
216028,examples cognitive dissonance football ?,examples cognitive dissonance internet ?,0,0.0,0.0,8,0.918918918918919
216029,would say someone 's browsing quora instead studying his/her exams ?,keep browsing quora forever ?,0,0.0,0.0,45,0.6829268292682927
